,index,0
0,e64fb393e7b32834bb789ff8bb30750e,I received it well before the set deadline.
1,f7c4243c7fe1938f181bec41a392bdeb,"Congratulations to Lannister Stores, I loved buying online, which is secure and convenient. Congratulations to all, happy Easter!"
2,8670d52e15e00043ae7de4c01cc2fe06,"efficient device. On the website, the device's brand is printed as 3desinfector, but when it arrived, it has a different name. Update with the correct brand as it is the same device."
3,4b49719c8a200003f700d3d986ea1a19,"But a little stuck... for the value, it's good."
4,3948b09f7c818e2d86c9a546758b2335,"Trusted seller, product is okay, and delivery before the deadline."
5,9314d6f9799f5bfba510cc7bcd468c01,"I would like to know what happened. I have always received, but this purchase now disappointed me."
6,373cbeecea8286a2b66c97b1b157ec46,Terrible
7,d21bbc789670eab777d27372ab9094cc,Store grade 10
8,0e0190b9db53b689b285d3f3916f8441,Thank you for the attention you have given me
9,fe3db7c069d694bab50cc43463f91608,"The purchase was made easily.
The delivery was carried out well before the given deadline.
The product has already started to be used and up to the present, without any problems."
10,e07eee7ad7666276bd8b27fbd83fd1ff,very beautiful and inexpensive watch
11,2c5e27fc178bde7ac173c9c62c31b070,I didn't like it! I bought a pig in a poke!
12,58044bca115705a48fe0e00a21390c54,"I always buy online, and the delivery occurs before the agreed deadline, which I believe is the maximum time frame. On Stark, the maximum time frame has already passed, and I have not yet received the product."
13,c92cdd7dd544a01aa35137f901669cdf,"I received exactly what I expected. The rest of the orders from other sellers were delayed, but this one arrived on time."
14,08c9d79ec0eba1d252e3f52f14b8e6a9,"I recommend,"
15,2170c9452c2216457b36003fe2969fbb,very good
16,b193ff3c9f32a01f3a0d9ae26b94d244,"I'm completely in love, super responsible and trustworthy store!"
17,9fd59cd04b42f600df9f25e54082a8d1,My order hasn't arrived yet.
18,86c5cfa7fcbde303f704b60a78ced7d6,Very good. Very fragrant.
19,890ec1767be8eb104877db6d68eaade5,"Excellent seller delivered it even before the deadline, I loved the product."
20,7d9ac3e98adc0c8ad579e6a2257d79f9,Smooth and efficient purchase process.
21,c41bd21983e298a240410ebb391bf075,Let's hope it lasts since it's made of fur.
22,e233e51d11511bf30e568c76360ace52,I received only 1 Midea Split ESTILO remote control. Missing remote control for Consul air conditioner.
23,3d94fd645cdaacc8c9f0dc0a2a1f5166,good
24,500c05500aa275953129f49799ee5c73,Very beautiful
25,6a0969d0769d2f3ff6438809a1cc455e,"Everything went as contracted, with the delivery completed before the deadline. I am satisfied."
26,8a64945e89526e68bc16383391590232,I loved it. I found it beautiful and very delicate. I loved it!
27,c0dbf9a325d2a2fece43873be47191e1,"Great store for partnership: very fast, well-packaged and high-quality products! Only the shipping cost was a bit steep."
28,109b5ce2dd11bb8460eff3b86da6fefc,I recommend the seller.
29,6d06808638ec0701bccd70bc8d462c28,"The product did not arrive on time and caused distress because I planned my son's vacation trip based on the deadline. I live in Bahia and he is alone in Cuiabá. Now, the house is empty."
30,750d4311e8ddb6cba549ee86f06f0cca,Product delivered as requested and quickly. Congratulations!
31,8b230a1373c6dc4bd867099fda1d7039,I bought two units and only received one. What do I do now?
32,cb2fc3e5711b5ae85e0491ee18af63ed,"Good product, but what I received doesn't match the photo in the advertisement."
33,60c714ed14cef913944a3147094a4742,"Very inferior product, poorly finished."
34,c45811d9f90e22a81155b3a1e4a5c2e8,The Dog Patrol backpack set is sooo cute!! My little grandson is going to love it!! Thank you!!
35,e29ab4a671400c41322e4855de633c6a,Wonder
36,0bd4dcc4f6c4621baf37f73495cad8c4,On-time Delivery
37,888f11883ff85fa5c07e6ae1192d85c4,Fulfilled the promise with the purchase and provided a satisfactory delivery time.
38,65dfeb60c40e3cbb0a1838285d86f885,I requested reimbursement and there is still no response.
39,50a1eaa2f96d6f3e02d0cd68d92bab75,Super fast.
40,436f71c9cc0c1aab7f51dc0cd0820516,Satisfied
41,97d4feff1fd7129bee6cde095b9dac2a,You deserve praise... always arrives well in advance. Thank you very much....
42,1692078634b63c7f25aa90ee746ec498,OK I recommend
43,ff722b4c68783a4459a3adb9bb4e1d0d,"Product arrived, but my PC did not recognize the USB ports."
44,8055e963f26f70c406ca517b2c2848e6,"Very good quality product, arrived before the expected time."
45,ae728c1061bf163b4bd256ad9ee0bb83,"This was the order
Bucket with 128 Pieces - Building Blocks 2 units - R$ 25.00 each (NOT DELIVERED)
Sold and delivered targaryen
Eva Number Alphabet Rug 36 Pieces Children 1 unit - R$ 35.90 (THIS WAS DELIVERED)"
46,41926e45719f9b923357ea3bb222195f,Very fast delivery. Congratulations.
47,72730619a00e0ecdecf0a4ff862d8996,"I bought three packages, each containing five sheets of transfer paper for dark fabric, and I only received two."
